label,cash_desk,total_amount,n_lines,payment_medium,has_feedback,feedback_low,feedback_middle,feedback_high,feedback_top,daytime,hour,hour_categorical,day_of_week,month,transaction_duration_seconds,store_id,location,urbanization,has_voided,n_voided,n_age_restricted,has_age_restricted,popularity_max,popularity_min,max_product_price,n_sold_by_weight,has_sold_by_weight,has_camera_detected_wrong_product,has_camera_detected_wrong_product_high_certainty,has_convenience,has_dairy,has_tobacco,has_household,has_personal_care,has_bakery,has_snacks,has_alcohol,has_fruits_vegetables,has_frozen_goods,has_limited_time_offers,has_fruits_vegetables_pieces,has_beverages,has_long_shelf_life,has_missing,mean_time_between_scans,max_time_between_scans,time_to_first_scan,time_from_last_scan_to_end,days_since_sco_introduction
FRAUD,1,41.89,8,CASH,False,False,False,False,False,noon,13,13,Saturday,May,42,cd833b6b-0666-42df-b538-6bb1f189b66e,Koeln,RURAL,False,0.0,0.0,False,0.1925425881782399,0.1015262480520265,3.39,0.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,4.802232,9.720768,1.671033,7.478250999999999,479
FRAUD,1,7.91,4,CREDIT_CARD,False,False,False,False,False,afternoon,16,16,Saturday,June,30,cd833b6b-0666-42df-b538-6bb1f189b66e,Koeln,RURAL,False,0.0,0.0,False,0.1887299894873597,0.1514593643028671,1.39,0.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,5.756889999999999,8.322201999999999,1.5053889999999999,11.439458,122
FRAUD,0,217.79,22,CREDIT_CARD,False,False,False,False,False,evening,20,20,Saturday,June,138,cd833b6b-0666-42df-b538-6bb1f189b66e,Koeln,RURAL,False,0.0,0.0,False,0.1849928853087078,0.0737231872606837,4.99,0.0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,5.616772,12.732453999999999,12.162656,8.2968,122
FRAUD,0,40.32,7,CASH,False,False,False,False,False,morning,9,9,Saturday,June,49,46e6da32-f4b0-40f3-ada7-fc6ca81ed85d,Stuttgart,CITIES,True,1.0,0.0,False,0.1925425881782399,0.1398146150013051,1.79,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,4.252097,8.747696999999999,8.878679,10.994154,123
FRAUD,2,18.02,3,CASH,False,False,False,False,False,afternoon,17,17,Friday,June,26,46e6da32-f4b0-40f3-ada7-fc6ca81ed85d,Stuttgart,CITIES,False,0.0,0.0,False,0.1813297807507841,0.1056696128358782,3.19,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,6.020365,8.508474999999999,5.817704,8.914522999999999,122
FRAUD,1,72.7,6,CREDIT_CARD,False,False,False,False,False,noon,12,12,Saturday,June,36,cd833b6b-0666-42df-b538-6bb1f189b66e,Koeln,RURAL,False,0.0,0.0,False,0.1813297807507841,0.1290651565714589,2.19,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,5.620965,9.1969,0.936634,7.423164,129
FRAUD,2,25.8,5,CREDIT_CARD,False,False,False,False,False,evening,20,20,Wednesday,June,51,cd833b6b-0666-42df-b538-6bb1f189b66e,Koeln,RURAL,False,0.0,0.0,False,0.1813297807507841,0.1398146150013051,1.79,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,8.343785,11.725705999999999,10.018353,8.40028,126
FRAUD,3,81.16,8,CREDIT_CARD,False,False,False,False,False,afternoon,18,18,Thursday,June,56,cd833b6b-0666-42df-b538-6bb1f189b66e,Koeln,RURAL,False,0.0,0.0,False,0.1887299894873597,0.1343324055324019,1.99,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,6.542907,10.38584,3.1949,7.823122,127
FRAUD,2,98.18,8,CASH,False,False,False,False,False,noon,13,13,Friday,June,59,46e6da32-f4b0-40f3-ada7-fc6ca81ed85d,Stuttgart,CITIES,False,0.0,0.0,False,0.1849928853087078,0.09372053916413,3.79,0.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,6.623419999999999,11.96895,0.97398,11.756495,122
FRAUD,1,0.82,1,CREDIT_CARD,False,False,False,False,False,morning,11,11,Friday,June,15,cd833b6b-0666-42df-b538-6bb1f189b66e,Koeln,RURAL,False,0.0,0.0,False,0.1849928853087078,0.1849928853087078,0.39,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,5.304036,10.614773,128
