id,base_product_id,category,price,popularity,valid_from,valid_to,sold_by_weight,weight,age_restricted
fffcbc8a-f73f-496c-8f4e-671a7f0b7ab2,fffcbc8a-f73f-496c-8f4e-671a7f0b7ab2,CONVENIENCE,2.49,0.121548986980498,2024-10-29,2025-01-06,False,0.5,False
608a870f-f898-486c-b66d-8979855c1cbb,608a870f-f898-486c-b66d-8979855c1cbb,FRUITS_VEGETABLES,12.79,0.0154919009273583,2013-12-27,2014-07-16,True,,False
3758a745-6170-4650-ad9d-0f8b6c6b781d,3758a745-6170-4650-ad9d-0f8b6c6b781d,LONG_SHELF_LIFE,1.79,0.1398146150013051,2023-02-11,2023-05-09,False,0.5,False
d5579e9a-8fd4-4ca5-a902-88348d8e0130,d5579e9a-8fd4-4ca5-a902-88348d8e0130,FRUITS_VEGETABLES_PIECES,1.49,0.1484602679495548,2023-09-03,2023-09-24,False,1.3971814344796218,False
ad191c01-3a19-4ae9-b7a0-1f8fdf227414,ad191c01-3a19-4ae9-b7a0-1f8fdf227414,FROZEN_GOODS,2.49,0.121548986980498,2011-05-05,2013-08-27,False,1.63,False
375f3882-89d9-4a60-bd09-f9e38777d9ca,375f3882-89d9-4a60-bd09-f9e38777d9ca,LONG_SHELF_LIFE,0.79,0.1707699563936963,2013-07-10,2021-01-21,False,0.5,False
7656d476-8db4-4d18-95e4-0c8fe067b7fd,7656d476-8db4-4d18-95e4-0c8fe067b7fd,FRUITS_VEGETABLES_PIECES,1.29,0.1545190464213856,2022-12-14,2023-01-14,False,2.0272129507141448,False
378af53e-879e-4f5f-8614-247b035f92cc,378af53e-879e-4f5f-8614-247b035f92cc,CONVENIENCE,3.49,0.0995158936464089,2012-04-19,2015-08-29,False,0.3,False
d542da73-8f5b-4ac7-840a-c67fa3eb2885,d542da73-8f5b-4ac7-840a-c67fa3eb2885,FROZEN_GOODS,3.79,0.09372053916413,2022-09-29,2022-11-09,False,1.71,False
9d689c97-09b8-45d1-80fc-684237cdd6d4,9d689c97-09b8-45d1-80fc-684237cdd6d4,SNACKS,1.29,0.1545190464213856,2010-04-06,2017-01-05,False,0.5,False
